Match ID,Home ID,Away ID,Home Name,Away Name,Home Formation,Away Formation,Home Goals,Away Goals,Home Goals Conceded,Away Goals Conceded,Home Passes,Away Passes,Red Cards Home,Red Cards Away,Home Pass Quality,Away Pass Quality
38364,26,159,Leicester,Huddersfield,4231.0,541.0,3.0,1.0,1.0,3.0,589.0,357.0,0.0,0.0,0.85,0.65
38663,10,159,Liverpool,Huddersfield,433.0,4141.0,5.0,0.0,0.0,5.0,726.0,306.0,0.0,0.0,0.95,0.65
38494,12,159,Man Utd,Huddersfield,4231.0,4231.0,3.0,1.0,1.0,3.0,634.0,335.0,0.0,0.0,0.95,0.65
38685,20,159,Southampton,Huddersfield,442.0,433.0,1.0,1.0,1.0,1.0,447.0,388.0,0.0,0.0,0.65,0.65
38646,21,159,Spurs,Huddersfield,3412.0,541.0,4.0,0.0,0.0,4.0,738.0,305.0,0.0,0.0,0.95,0.65
38407,33,159,Watford,Huddersfield,4222.0,4411.0,3.0,0.0,0.0,3.0,467.0,498.0,0.0,0.0,0.75,0.65
38325,11,159,Man City,Huddersfield,3142.0,442.0,6.0,1.0,1.0,6.0,760.0,224.0,0.0,0.0,0.95,0.65
38551,4,159,Chelsea,Huddersfield,433.0,433.0,5.0,0.0,0.0,5.0,737.0,395.0,0.0,0.0,0.95,0.65
38458,1,159,Arsenal,Huddersfield,3142.0,4231.0,1.0,0.0,0.0,1.0,525.0,323.0,0.0,0.0,0.85,0.65
38448,127,159,Bournemouth,Huddersfield,442.0,4231.0,2.0,1.0,1.0,2.0,304.0,608.0,0.0,0.0,0.75,0.65
38616,25,159,West Ham,Huddersfield,4141.0,4231.0,4.0,3.0,3.0,4.0,605.0,327.0,0.0,0.0,0.75,0.65
38437,38,159,Wolves,Huddersfield,343.0,3511.0,0.0,2.0,2.0,0.0,443.0,547.0,0.0,0.0,0.65,0.65
38520,46,159,Cardiff,Huddersfield,4141.0,4321.0,0.0,0.0,0.0,0.0,270.0,425.0,0.0,0.0,0.65,0.65
38576,23,159,Newcastle,Huddersfield,541.0,41212.0,2.0,0.0,0.0,2.0,549.0,480.0,0.0,1.0,0.85,0.65
38343,7,159,Everton,Huddersfield,4231.0,541.0,1.0,1.0,1.0,1.0,464.0,335.0,0.0,0.0,0.85,0.65
38558,131,43,Brighton,Burnley,433.0,442.0,1.0,3.0,3.0,1.0,519.0,253.0,0.0,0.0,0.75,0.85
38441,6,43,Crystal Palace,Burnley,442.0,4411.0,2.0,0.0,0.0,2.0,518.0,357.0,0.0,0.0,0.75,0.85
38330,34,43,Fulham,Burnley,433.0,4411.0,4.0,2.0,2.0,4.0,572.0,301.0,0.0,0.0,0.65,0.85
38423,26,43,Leicester,Burnley,4231.0,442.0,0.0,0.0,0.0,0.0,479.0,298.0,0.0,0.0,0.85,0.85
38604,10,43,Liverpool,Burnley,433.0,442.0,4.0,2.0,2.0,4.0,647.0,290.0,0.0,0.0,0.95,0.85
38542,12,43,Man Utd,Burnley,4141.0,442.0,2.0,2.0,2.0,2.0,650.0,228.0,0.0,0.0,0.95,0.85
38315,20,43,Southampton,Burnley,3421.0,4411.0,0.0,0.0,0.0,0.0,369.0,408.0,0.0,0.0,0.65,0.85
38475,21,43,Spurs,Burnley,4231.0,541.0,1.0,0.0,0.0,1.0,623.0,264.0,0.0,0.0,0.95,0.85
38536,33,43,Watford,Burnley,4222.0,442.0,0.0,0.0,0.0,0.0,412.0,330.0,0.0,0.0,0.75,0.85
38394,11,43,Man City,Burnley,433.0,4411.0,5.0,0.0,0.0,5.0,679.0,302.0,0.0,0.0,0.95,0.85
38651,4,43,Chelsea,Burnley,433.0,442.0,2.0,2.0,2.0,2.0,681.0,219.0,0.0,0.0,0.95,0.85
38513,159,43,Huddersfield,Burnley,4231.0,442.0,1.0,2.0,2.0,1.0,361.0,483.0,1.0,1.0,0.65,0.85
38478,1,43,Arsenal,Burnley,4312.0,532.0,3.0,1.0,1.0,3.0,553.0,357.0,0.0,0.0,0.85,0.85
38628,127,43,Bournemouth,Burnley,442.0,442.0,1.0,3.0,3.0,1.0,441.0,284.0,0.0,0.0,0.75,0.85
38416,25,43,West Ham,Burnley,4141.0,4411.0,4.0,2.0,2.0,4.0,527.0,312.0,0.0,0.0,0.75,0.85
38357,38,43,Wolves,Burnley,3421.0,442.0,1.0,0.0,0.0,1.0,567.0,395.0,0.0,0.0,0.65,0.85
38370,46,43,Cardiff,Burnley,4411.0,4411.0,1.0,2.0,2.0,1.0,318.0,287.0,0.0,0.0,0.65,0.85
38586,23,43,Newcastle,Burnley,541.0,442.0,2.0,0.0,0.0,2.0,445.0,367.0,0.0,0.0,0.85,0.85
38672,7,43,Everton,Burnley,4231.0,442.0,2.0,0.0,0.0,2.0,555.0,369.0,0.0,0.0,0.85,0.85
38548,131,33,Brighton,Watford,433.0,4222.0,0.0,0.0,0.0,0.0,456.0,383.0,0.0,0.0,0.75,0.75
38319,43,33,Burnley,Watford,4411.0,4222.0,1.0,3.0,3.0,1.0,461.0,345.0,0.0,0.0,0.85,0.75
38522,6,33,Crystal Palace,Watford,433.0,4222.0,1.0,2.0,2.0,1.0,409.0,334.0,0.0,0.0,0.75,0.75
38363,34,33,Fulham,Watford,433.0,4222.0,1.0,1.0,1.0,1.0,524.0,335.0,0.0,0.0,0.65,0.75
38443,26,33,Leicester,Watford,4231.0,4222.0,2.0,0.0,0.0,2.0,303.0,496.0,0.0,1.0,0.85,0.75
38584,10,33,Liverpool,Watford,433.0,4222.0,5.0,0.0,0.0,5.0,627.0,392.0,0.0,0.0,0.95,0.75
38626,12,33,Man Utd,Watford,4312.0,4222.0,2.0,1.0,1.0,2.0,431.0,399.0,0.0,0.0,0.95,0.75
38427,20,33,Southampton,Watford,4231.0,4222.0,1.0,1.0,1.0,1.0,305.0,420.0,0.0,0.0,0.65,0.75
38547,21,33,Spurs,Watford,352.0,4222.0,2.0,1.0,1.0,2.0,588.0,274.0,0.0,0.0,0.95,0.75
38605,11,33,Man City,Watford,433.0,451.0,3.0,1.0,1.0,3.0,727.0,298.0,0.0,0.0,0.95,0.75
38671,4,33,Chelsea,Watford,433.0,4222.0,3.0,0.0,0.0,3.0,537.0,382.0,0.0,0.0,0.95,0.75
38653,159,33,Huddersfield,Watford,4411.0,4222.0,1.0,2.0,2.0,1.0,378.0,459.0,0.0,0.0,0.65,0.75
38368,1,33,Arsenal,Watford,4231.0,4222.0,2.0,0.0,0.0,2.0,542.0,298.0,0.0,0.0,0.85,0.75
38509,127,33,Bournemouth,Watford,442.0,4222.0,3.0,3.0,3.0,3.0,491.0,379.0,0.0,0.0,0.75,0.75
38486,25,33,West Ham,Watford,442.0,4222.0,0.0,2.0,2.0,0.0,381.0,380.0,0.0,0.0,0.75,0.75
38397,38,33,Wolves,Watford,343.0,4222.0,0.0,2.0,2.0,0.0,420.0,550.0,0.0,0.0,0.65,0.75
38571,46,33,Cardiff,Watford,343.0,4222.0,1.0,5.0,5.0,1.0,313.0,579.0,0.0,0.0,0.65,0.75
38415,23,33,Newcastle,Watford,4411.0,4222.0,1.0,0.0,0.0,1.0,326.0,452.0,0.0,0.0,0.85,0.75
38463,7,33,Everton,Watford,4231.0,4222.0,2.0,2.0,2.0,2.0,412.0,321.0,0.0,0.0,0.85,0.75
38518,131,10,Brighton,Liverpool,451.0,4231.0,0.0,1.0,1.0,0.0,301.0,755.0,0.0,0.0,0.75,0.95
38450,43,10,Burnley,Liverpool,442.0,442.0,1.0,3.0,3.0,1.0,228.0,681.0,0.0,0.0,0.85,0.95
38322,6,10,Crystal Palace,Liverpool,442.0,433.0,0.0,2.0,2.0,0.0,359.0,625.0,1.0,0.0,0.75,0.95
38612,34,10,Fulham,Liverpool,433.0,433.0,1.0,2.0,2.0,1.0,365.0,595.0,0.0,0.0,0.65,0.95
38344,26,10,Leicester,Liverpool,4231.0,433.0,1.0,2.0,2.0,1.0,496.0,473.0,0.0,0.0,0.85,0.95
38575,12,10,Man Utd,Liverpool,4312.0,433.0,0.0,0.0,0.0,0.0,317.0,565.0,0.0,0.0,0.95,0.95
